[94m[INFO] 2022-09-08 12:31:33.062179 [VREP]: Connecting to VRep...[0m
[94m[INFO] 2022-09-08 12:31:33.063483 [VREP]: Connection successfully established.[0m
Argument List: ['main_orch.py', '0', '1']
Robot_id:  0
Missione:  1
[94m[INFO] 2022-09-08 12:31:33.063680 [ALL HUMANS]: Subscribing to position data...[0m
[94m[INFO] 2022-09-08 12:31:33.078866 [ALL HUMANS]: Subscribing to fatigue data...[0m
[94m[INFO] 2022-09-08 12:31:33.111266 [ALL HUMANS]: Subscribing to served data...[0m
[94m[INFO] 2022-09-08 12:31:33.117081 [ROBOT 0]: Subscribing to position data...[0m
[94m[INFO] 2022-09-08 12:31:33.166271 [ROBOT 0]: Subscribing to charge data...[0m
[94m[INFO] 2022-09-08 12:31:33.203772 [ROBOT 0]: Subscribing to distance data...[0m
[DEBUG] 2022-09-08 12:31:48.261856 [HUMAN 0]: Updating position to (1.30, 5.31)
[94m[INFO] 2022-09-08 12:31:48.262176 [ORCHESTRATOR 0]: Starting mission...[0m
[DEBUG] 2022-09-08 12:31:48.262346 [ROBOT 0]: Updating position to (1.99, 2.16)
[DEBUG] 2022-09-08 12:31:48.262447 [ROBOT 0]: Updating charge to (49.74)
[DEBUG] 2022-09-08 12:31:48.262520 [HUMAN 0]: Updating position to (1.30, 5.31)
[DEBUG] 2022-09-08 12:31:48.262582 [HUMAN 0]: Updating fatigue to (0.00)
[94m[INFO] 2022-09-08 12:31:48.930389 [ORCHESTRATOR 0]: Human-Robot distance: (3.23)[0m
[94m[INFO] 2022-09-08 12:31:48.930426 [ORCHESTRATOR 0]: Starting action...[0m
x: 1.3023999999999996	y: 5.3122
[DEBUG] 2022-09-08 12:31:48.930553 [NAVIGATION]: drawing point 0.0 1.1...
[DEBUG] 2022-09-08 12:31:49.053196 [NAVIGATION]: drawing point 0.5 1.1...
[DEBUG] 2022-09-08 12:31:49.175651 [NAVIGATION]: drawing point 1.0 1.1...
[DEBUG] 2022-09-08 12:31:49.291491 [NAVIGATION]: drawing point 1.5 1.1...
[DEBUG] 2022-09-08 12:31:49.412507 [NAVIGATION]: drawing point 2.0 1.1...
[DEBUG] 2022-09-08 12:31:49.558804 [NAVIGATION]: drawing point 2.5 1.1...
[DEBUG] 2022-09-08 12:31:49.675278 [NAVIGATION]: drawing point 3.0 1.1...
[DEBUG] 2022-09-08 12:31:49.782264 [NAVIGATION]: drawing point 3.5 1.1...
[DEBUG] 2022-09-08 12:31:49.904300 [NAVIGATION]: drawing point 4.0 1.1...
[DEBUG] 2022-09-08 12:31:50.033281 [NAVIGATION]: drawing point 4.5 1.1...
[DEBUG] 2022-09-08 12:31:50.150116 [NAVIGATION]: drawing point 5.0 1.1...
[DEBUG] 2022-09-08 12:31:50.267376 [NAVIGATION]: drawing point 5.5 1.1...
[DEBUG] 2022-09-08 12:31:50.426775 [NAVIGATION]: drawing point 6.0 1.1...
[DEBUG] 2022-09-08 12:31:50.537266 [NAVIGATION]: drawing point 6.5 1.1...
[DEBUG] 2022-09-08 12:31:50.656589 [NAVIGATION]: drawing point 7.0 1.1...
[DEBUG] 2022-09-08 12:31:50.772784 [NAVIGATION]: drawing point 7.5 1.1...
[DEBUG] 2022-09-08 12:31:50.886577 [NAVIGATION]: drawing point 8.0 1.1...
[DEBUG] 2022-09-08 12:31:51.027857 [NAVIGATION]: drawing point 8.5 1.1...
[DEBUG] 2022-09-08 12:31:51.137576 [NAVIGATION]: drawing point 9.0 1.1...
[DEBUG] 2022-09-08 12:31:51.261264 [NAVIGATION]: drawing point 9.5 1.1...
[DEBUG] 2022-09-08 12:31:51.366538 [NAVIGATION]: drawing point 10.0 1.1...
[DEBUG] 2022-09-08 12:31:51.465253 [NAVIGATION]: drawing point 10.5 1.1...
[DEBUG] 2022-09-08 12:31:51.573243 [NAVIGATION]: drawing point 11.0 1.1...
[DEBUG] 2022-09-08 12:31:51.674755 [NAVIGATION]: drawing point 11.5 1.1...
[DEBUG] 2022-09-08 12:31:51.771784 [NAVIGATION]: drawing point 12.0 1.1...
[DEBUG] 2022-09-08 12:31:51.882250 [NAVIGATION]: drawing point 12.5 1.1...
[DEBUG] 2022-09-08 12:31:52.007572 [NAVIGATION]: drawing point 13.0 1.1...
[DEBUG] 2022-09-08 12:31:52.116487 [NAVIGATION]: drawing point 13.5 1.1...
[DEBUG] 2022-09-08 12:31:52.231411 [NAVIGATION]: drawing point 14.0 1.1...
[DEBUG] 2022-09-08 12:31:52.351708 [NAVIGATION]: drawing point 14.5 1.1...
[DEBUG] 2022-09-08 12:31:52.468348 [NAVIGATION]: drawing point 15.0 1.1...
[DEBUG] 2022-09-08 12:31:52.585296 [NAVIGATION]: drawing point 15.5 1.1...
[DEBUG] 2022-09-08 12:31:57.594034 [NAVIGATION]: drawing point 16.0 1.1...
[DEBUG] 2022-09-08 12:32:02.122336 [NAVIGATION]: drawing point 16.5 1.1...
[DEBUG] 2022-09-08 12:32:02.237789 [NAVIGATION]: drawing point 17.0 1.1...
